"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","tiktok_influencer_cost","tatari_cost","mntn_cost","dm_cost","cluster","top_sol"
"51","5_104_3",0,0.492098652224876,0.286731808888684,0.839093114088627,0.097405045534801,0.215992737527768,0.548232973719816,0.451769584426052,0.279294636935569,0.408063954857639,0.803090272296303,0.65692724630966,0.634345845362165,0.238929831032722,2,FALSE
"52","5_104_4",0,0.524226544644758,0.272196187474632,0.79348655802128,0.0972505849280968,0.147899863678794,0.611325197463484,0.278899888532551,0.292371071498122,0.201533537220022,0.631884039177698,0.783312655939909,0.561700621884932,0.425333330438101,2,FALSE
"53","5_105_14",0,0.49158076813357,0.287099462670733,0.839594471870946,0.097429821335574,0.215675227886674,0.550336476174121,0.455246871016707,0.274138020670879,0.407872650914425,0.755231587382425,0.678249300068222,0.630380111309215,0.238329700748508,2,FALSE
"54","5_105_15",0,0.525238644891038,0.270821315237055,0.796956646612037,0.0969921437040925,0.132065267698954,0.532918604902477,0.260593810341362,0.278284540738911,0.182553913209533,0.751210646663625,0.807601679224051,0.650931888020626,0.403363288054037,2,FALSE
"55","5_105_2",0,0.428175768497584,0.332916104904315,0.891736153394498,0.102307282303798,0.446517992442698,0.499904015071257,0.833987189219247,0.293837336185875,0.580280500138611,0.415034581683606,0.347546503786825,0.173559774271343,0.0219498776208398,1,FALSE
"56","5_106_11",0,0.466528606851228,0.293107305394566,0.887287785209682,0.0981175796489111,0.27347312162815,0.521209745889506,0.645679582172158,0.23285074580208,0.570252742979971,0.750114771575945,0.647103699662621,0.417947859150058,0.231470087854173,1,FALSE
"57","5_106_2",0,0.51986382624082,0.272406066791696,0.804438757011911,0.0970890613686105,0.124131293930259,0.429277379631341,0.337889407260744,0.264336486980675,0.20450017846918,1,0.677784110575787,0.519850855399109,0.531077461782496,2,FALSE
"58","5_106_5",0,0.443366225281913,0.313170150145412,0.851620391752712,0.101625011248582,0.408118421594287,0.427213043488447,0.805096398459898,0.333206265195201,0.349534996668272,0.558818556993051,0.211534124621375,0.233197339761288,0,1,TRUE
"59","5_66_11",0,0.494036856965442,0.285118415874428,0.808310808573893,0.0976359167925313,0.271062509822001,0.685531832366478,0.255565306082694,0.350120940930712,0.312234657897572,0.704260578178489,0.622557287215551,0.538997697048209,0.293294454371592,2,FALSE
"60","5_67_13",0,0.519893072281086,0.27512052650596,0.836851448946508,0.0965459129462226,0.136516934216869,0.385695641167834,0.312587706587731,0.326877586116995,0.623761120270788,0.689336057315582,0.748372719154187,0.65207232397931,0.53244758377998,2,FALSE
